provider,model,dataset,language,acoustic_profile,samples,wer,cer,ser,exact_match_rate,normalization_profile
aws_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.09090909091,0.03818827709,0.6,0.4,normalized-v1
aws_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.04237288136,0.0146460537,0.4,0.6,normalized-v1
aws_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,0.9714285714,0.06135986733,0.9,0.1,normalized-v1
aws_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.08974358974,0.01388888889,0.6,0.4,normalized-v1
aws_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,0.003984063745,0.002659574468,0.1,0.9,normalized-v1
aws_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,0.03550295858,0.01313868613,0.5,0.5,normalized-v1
aws_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.01744186047,0.001315789474,0.2,0.8,normalized-v1
aws_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.03367003367,0.009283819629,0.5,0.5,normalized-v1
aws_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,0.03217158177,0.01875,0.4,0.6,normalized-v1
aws_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,0.08415841584,0.04782608696,0.8,0.2,normalized-v1
aws_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.03629032258,0.02318145484,0.3,0.7,normalized-v1
aws_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,0.07331378299,0.05211912944,0.8,0.2,normalized-v1
azure_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.1148325359,0.0674955595,0.7,0.3,normalized-v1
azure_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.05508474576,0.016273393,0.6,0.4,normalized-v1
azure_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,9,0.96875,0.208566108,0.8888888889,0.1111111111,normalized-v1
azure_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.08333333333,0.03125,0.4,0.6,normalized-v1
azure_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,0.003984063745,0.002659574468,0.1,0.9,normalized-v1
azure_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,0.07692307692,0.04233576642,0.6,0.4,normalized-v1
azure_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.02325581395,0.003947368421,0.3,0.7,normalized-v1
azure_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.5589225589,0.5311671088,1,0,normalized-v1
azure_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,0.1581769437,0.166875,0.7,0.3,normalized-v1
azure_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,0.2772277228,0.2069565217,0.9,0.1,normalized-v1
azure_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.07258064516,0.03117505995,0.6,0.4,normalized-v1
azure_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,0.1612903226,0.1345933562,0.8,0.2,normalized-v1
google_cloud,balanced,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.1339712919,0.05861456483,0.8,0.2,normalized-v1
google_cloud,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.08474576271,0.0211554109,0.6,0.4,normalized-v1
google_cloud,balanced,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,1,0.1393034826,1,0,normalized-v1
google_cloud,balanced,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.1346153846,0.03703703704,0.8,0.2,normalized-v1
google_cloud,balanced,librispeech_test_clean_subset,en-US,clean_read,10,0.01992031873,0.01418439716,0.4,0.6,normalized-v1
google_cloud,balanced,librispeech_test_other_subset,en-US,harder_read,10,0.1124260355,0.0496350365,0.7,0.3,normalized-v1
google_cloud,balanced,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.02906976744,0.006578947368,0.4,0.6,normalized-v1
google_cloud,balanced,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.07744107744,0.02055702918,0.7,0.3,normalized-v1
google_cloud,balanced,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,0.04289544236,0.01875,0.7,0.3,normalized-v1
google_cloud,balanced,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,0.1485148515,0.06869565217,0.9,0.1,normalized-v1
google_cloud,balanced,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.09677419355,0.03916866507,0.6,0.4,normalized-v1
google_cloud,balanced,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,0.1348973607,0.09221076747,0.9,0.1,normalized-v1
huggingface_local,balanced,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.09090909091,0.04085257549,0.6,0.4,normalized-v1
huggingface_local,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.07203389831,0.03010577705,0.8,0.2,normalized-v1
huggingface_local,balanced,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,0.9428571429,0.0912106136,0.9,0.1,normalized-v1
huggingface_local,balanced,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.358974359,0.07060185185,1,0,normalized-v1
huggingface_local,balanced,librispeech_test_clean_subset,en-US,clean_read,10,0.00796812749,0.007978723404,0.2,0.8,normalized-v1
huggingface_local,balanced,librispeech_test_other_subset,en-US,harder_read,10,0.04733727811,0.02189781022,0.6,0.4,normalized-v1
huggingface_local,balanced,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.02325581395,0.006578947368,0.3,0.7,normalized-v1
huggingface_local,balanced,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.06060606061,0.01657824934,0.8,0.2,normalized-v1
huggingface_local,balanced,mls_spanish_test_subset,es-ES,multilingual_audiobook,9,0.04142011834,0.01856946355,0.5555555556,0.4444444444,normalized-v1
huggingface_local,balanced,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,0.1584158416,0.0747826087,0.9,0.1,normalized-v1
huggingface_local,balanced,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.08870967742,0.02877697842,0.6,0.4,normalized-v1
huggingface_local,balanced,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,0.1407624633,0.08877434135,0.8,0.2,normalized-v1
vosk_local,en_small,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.2535885167,0.1101243339,0.9,0.1,normalized-v1
vosk_local,en_small,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,1,0.7160292921,1,0,normalized-v1
vosk_local,en_small,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,1,1,1,0,normalized-v1
vosk_local,en_small,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,1,0.7962962963,1,0,normalized-v1
vosk_local,en_small,librispeech_test_clean_subset,en-US,clean_read,10,0.06374501992,0.02836879433,0.9,0.1,normalized-v1
vosk_local,en_small,librispeech_test_other_subset,en-US,harder_read,10,0.1952662722,0.09781021898,0.8,0.2,normalized-v1
vosk_local,en_small,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.05813953488,0.01842105263,0.5,0.5,normalized-v1
vosk_local,en_small,mls_german_test_subset,de-DE,multilingual_audiobook,10,1,0.6637931034,1,0,normalized-v1
vosk_local,en_small,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,1,0.836875,1,0,normalized-v1
vosk_local,en_small,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,1,0.6626086957,1,0,normalized-v1
vosk_local,en_small,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.185483871,0.08073541167,0.9,0.1,normalized-v1
vosk_local,en_small,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,1,0.7812142039,1,0,normalized-v1
whisper_local,light,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.1770334928,0.06571936057,0.9,0.1,normalized-v1
whisper_local,light,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.2711864407,0.1008950366,1,0,normalized-v1
whisper_local,light,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,1,0.3698175788,0.9,0.1,normalized-v1
whisper_local,light,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.7692307692,0.1956018519,1,0,normalized-v1
whisper_local,light,librispeech_test_clean_subset,en-US,clean_read,10,0.03984063745,0.02216312057,0.7,0.3,normalized-v1
whisper_local,light,librispeech_test_other_subset,en-US,harder_read,10,0.1479289941,0.06861313869,0.7,0.3,normalized-v1
whisper_local,light,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.05813953488,0.01973684211,0.5,0.5,normalized-v1
whisper_local,light,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.1548821549,0.04376657825,1,0,normalized-v1
whisper_local,light,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,0.1260053619,0.03625,1,0,normalized-v1
whisper_local,light,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,0.2871287129,0.1130434783,1,0,normalized-v1
whisper_local,light,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.1209677419,0.0415667466,0.9,0.1,normalized-v1
whisper_local,light,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,0.2375366569,0.1111111111,0.9,0.1,normalized-v1
